iter	RMSE
0	4239.946073
1	3992.830754
2	3773.299622
3	3585.783569
4	3421.481354
5	3277.043283
6	3141.217565
7	3031.177369
8	2927.705364
9	2841.179896
10	2763.713501
11	2697.609974
12	2638.206689
13	2579.03336
14	2533.340795
15	2488.625276
16	2447.684008
17	2413.853624
18	2382.091559
19	2355.805
20	2332.919633
21	2311.478162
22	2294.649199
23	2277.567065
24	2261.689847
25	2251.10451
26	2239.032192
27	2226.274411
28	2214.400984
29	2204.904578
30	2195.670604
31	2188.879015
32	2179.944662
33	2173.631538
34	2167.074809
35	2161.742367
36	2156.830476
37	2151.872555
38	2146.57889
39	2142.906585
40	2138.369274
41	2134.332483
42	2129.379893
43	2127.043091
44	2124.808077
45	2120.674763
46	2116.443088
47	2113.104502
48	2109.628994
49	2105.06782
50	2101.876889
51	2099.401704
52	2095.903714
53	2092.818759
54	2090.32545
55	2088.045808
56	2085.257796
57	2082.167365
58	2080.295734
59	2077.337015
60	2075.185306
61	2073.03057
62	2069.678848
63	2066.668601
64	2063.706087
65	2061.163949
66	2059.205469
67	2056.480349
68	2053.906693
69	2051.081932
70	2048.802134
71	2046.725622
72	2044.629266
73	2042.567919
74	2040.531321
75	2038.043805
76	2035.171124
77	2033.728319
78	2031.666292
79	2030.270583
80	2028.219516
81	2026.426739
82	2025.296961
83	2023.144008
84	2021.318618
85	2019.754535
86	2017.798529
87	2016.248667
88	2013.505097
89	2011.614357
90	2010.729215
91	2008.905382
92	2006.855259
93	2004.697264
94	2002.888874
95	2001.326345
96	1999.815006
97	1998.768043
98	1997.728783
99	1995.959556
100	1994.857295
101	1993.34613
102	1991.473754
103	1990.508425
104	1989.527672
105	1988.316372
106	1986.75337
107	1985.590584
108	1984.000765
109	1982.02541
110	1980.259238
111	1978.948487
112	1977.70102
113	1976.362427
114	1975.365845
115	1973.9075
116	1973.000815
117	1971.691737
118	1970.659802
119	1969.175667
120	1968.193541
121	1966.908955
122	1965.687313
123	1964.588985
124	1963.378902
125	1961.837263
126	1960.672422
127	1959.202807
128	1958.053258
129	1956.994076
130	1955.720148
131	1954.774463
132	1953.457938
133	1952.528229
134	1951.760521
135	1950.442687
136	1949.63483
137	1948.368663
138	1947.541826
139	1946.855321
140	1945.939848
141	1945.088468
142	1944.097861
143	1943.478162
144	1942.44045
145	1941.710807
146	1941.03392
147	1940.21105
148	1939.516393
149	1938.587781
150	1937.890327
151	1937.172888
152	1936.264806
153	1935.468867
154	1934.767375
155	1934.200084
156	1933.104103
157	1932.564493
158	1931.481159
159	1930.361087
160	1929.758816
161	1928.835053
162	1928.211265
163	1927.567762
164	1926.722633
165	1926.155227
166	1925.357904
167	1924.764468
168	1924.143518
169	1923.409268
170	1922.494754
171	1921.507099
172	1921.008194
173	1920.196155
174	1919.695302
175	1918.924442
176	1918.372577
177	1917.771988
178	1916.920439
179	1915.871021
180	1915.174785
181	1914.468233
182	1914.052282
183	1913.203648
184	1912.674801
185	1912.017516
186	1911.310624
187	1910.549391
188	1909.475933
189	1908.78343
190	1908.178192
191	1907.622365
192	1907.271752
193	1906.846801
194	1906.453692
195	1905.939001
196	1905.179261
197	1904.202005
198	1903.751105
199	1903.144626
200	1902.773333
201	1902.163415
202	1901.576462
203	1901.168385
204	1900.767744
205	1900.476204
206	1899.810904
207	1899.156654
208	1898.796425
209	1898.001204
210	1897.374321
211	1896.965983
212	1896.308941
213	1896.034171
214	1895.466671
215	1894.858869
216	1894.505662
217	1893.934802
218	1893.413397
219	1892.865479
220	1892.507218
221	1892.032191
222	1891.255328
223	1890.624911
224	1890.080038
225	1889.765113
226	1889.384707
227	1888.820153
228	1888.588149
229	1888.154133
230	1887.379011
231	1887.069541
232	1886.389741
233	1885.959784
234	1885.525223
235	1885.061745
236	1884.768719
237	1884.206124
238	1883.997342
239	1883.724306
240	1883.265876
241	1882.873863
242	1882.558432
243	1881.998346
244	1881.406302
245	1881.168644
246	1880.668865
247	1880.211885
248	1879.837694
249	1879.515893
250	1878.956656
251	1878.521445
252	1878.017264
253	1877.694519
254	1877.275158
255	1876.709318
256	1876.368578
257	1876.000253
258	1875.700219
259	1875.033695
260	1874.566512
261	1874.216941
262	1873.706574
263	1873.346236
264	1872.926065
265	1872.485739
266	1872.209807
267	1872.03741
268	1871.651597
269	1871.276448
270	1871.005812
271	1870.647011
272	1870.261667
273	1869.853011
274	1869.706299
275	1869.265975
276	1869.083277
277	1868.731163
278	1868.615679
279	1868.260805
280	1867.790782
281	1867.347155
282	1866.968799
283	1866.619246
284	1866.256924
285	1866.077974
286	1865.788852
287	1865.314252
288	1864.880043
289	1864.718556
290	1864.271065
291	1863.684958
292	1863.259327
293	1862.90827
294	1862.63125
295	1862.426757
296	1862.117515
297	1861.830198
298	1861.307952
299	1860.98317
300	1860.634526
301	1860.360528
302	1860.04948
303	1859.539929
304	1859.29262
305	1859.022687
306	1858.907731
307	1858.642602
308	1858.485633
309	1858.154345
310	1857.799706
311	1857.476564
312	1857.088483
313	1856.817009
