Player,Pos,Age,Nation,Weekly Wages,Annual Wages,Season
Eden Hazard,FW,31,BEL,600962,31250000,2022-2023
Toni Kroos,MF,32,GER,468846,24380000,2022-2023
Karim Benzema,FW,34,FRA,461538,24000000,2022-2023
David Alaba,DF,30,AUT,432692,22500000,2022-2023
Luka Modrić,MF,36,CRO,420769,21880000,2022-2023
Vinicius Júnior,FW,22,BRA,400577,20830000,2022-2023
Thibaut Courtois,GK,30,BEL,288462,15000000,2022-2023
Antonio Rüdiger,DF,29,GER,280385,14580000,2022-2023
Aurélien Tchouaméni,MF,22,FRA,240385,12500000,2022-2023
Ferland Mendy,DF,27,FRA,200385,10420000,2022-2023
Dani Carvajal,DF,30,ESP,200385,10420000,2022-2023
Marco Asensio,FW,26,ESP,189038,9830000,2022-2023
Lucas Vázquez,DF,31,ESP,180385,9380000,2022-2023
Nacho,DF,32,ESP,164231,8540000,2022-2023
Eduardo Camavinga,MF,19,FRA,160192,8330000,2022-2023
Mariano,FW,28,DOM,160192,8330000,2022-2023
Rodrygo,FW,21,BRA,160192,8330000,2022-2023
Federico Valverde,MF,24,URU,156346,8130000,2022-2023
Álvaro Odriozola,DF,26,ESP,140192,7290000,2022-2023
Éder Militão,DF,24,BRA,140192,7290000,2022-2023
Dani Ceballos,MF,25,ESP,60192,3130000,2022-2023
Andriy Lunin,GK,23,UKR,54038,2810000,2022-2023
Jesús Vallejo,DF,25,ESP,34615,1800000,2022-2023
Gareth Bale,FW,32,WAL,653846,34000000,2021-2022
Eden Hazard,FW,30,BEL,600962,31250000,2021-2022
Karim Benzema,FW,33,FRA,461538,24000000,2021-2022
David Alaba,DF,29,AUT,432692,22500000,2021-2022
Toni Kroos,MF,31,GER,421923,21940000,2021-2022
Marcelo,DF,33,BRA,421923,21940000,2021-2022
Luka Modrić,MF,35,CRO,378654,19690000,2021-2022
Isco,MF,29,ESP,252308,13120000,2021-2022
Luka Jović,FW,23,SRB,240385,12500000,2021-2022
Thibaut Courtois,GK,29,BEL,227308,11820000,2021-2022
Casemiro,MF,29,BRA,189423,9850000,2021-2022
Marco Asensio,FW,25,ESP,189038,9830000,2021-2022
Ferland Mendy,DF,26,FRA,180385,9380000,2021-2022
Éder Militão,DF,23,BRA,180385,9380000,2021-2022
Dani Carvajal,DF,29,ESP,176731,9190000,2021-2022
Lucas Vázquez,DF,30,ESP,162308,8440000,2021-2022
Eduardo Camavinga,MF,18,FRA,160192,8330000,2021-2022
Federico Valverde,MF,23,URU,160192,8330000,2021-2022
Nacho,DF,31,ESP,147885,7690000,2021-2022
Mariano,FW,27,DOM,144231,7500000,2021-2022
Rodrygo,FW,20,BRA,144231,7500000,2021-2022
Vinicius Júnior,FW,21,BRA,128269,6670000,2021-2022
Dani Ceballos,MF,24,ESP,54231,2820000,2021-2022
Andriy Lunin,GK,22,UKR,48654,2530000,2021-2022
Jesús Vallejo,DF,24,ESP,31538,1640000,2021-2022
Miguel Gutiérrez,DF,20,ESP,14423,750000,2021-2022
Eden Hazard,FW,29,BEL,600962,31250000,2020-2021
Marcelo,DF,32,BRA,468846,24380000,2020-2021
Sergio Ramos,DF,34,ESP,468846,24380000,2020-2021
Toni Kroos,MF,30,GER,468846,24380000,2020-2021
Luka Modrić,MF,34,CRO,420769,21880000,2020-2021
Karim Benzema,FW,32,FRA,348654,18130000,2020-2021
Raphaël Varane,DF,27,FRA,328462,17080000,2020-2021
