iter	Passed	Remaining
0	132	132452
1	170	84891
2	219	73092
3	271	67568
4	296	59065
5	320	53104
6	354	50336
7	381	47257
8	406	44743
9	449	44529
10	474	42685
11	499	41147
12	530	40276
13	581	40983
14	611	40182
15	636	39149
16	677	39180
17	724	39505
18	770	39784
19	813	39885
20	858	40006
21	902	40107
22	938	39850
23	991	40307
24	1039	40559
25	1103	41344
26	1151	41509
27	1197	41577
28	1252	41949
29	1302	42110
30	1343	42001
31	1405	42521
32	1472	43136
33	1516	43082
34	1559	43000
35	1604	42956
36	1654	43056
37	1718	43513
38	1763	43450
39	1809	43432
40	1863	43586
41	1897	43290
42	1971	43866
43	2016	43806
44	2069	43924
45	2135	44289
46	2197	44552
47	2240	44438
48	2280	44266
49	2326	44205
50	2375	44195
51	2413	43991
52	2461	43987
53	2501	43824
54	2553	43880
55	2596	43766
56	2639	43664
57	2687	43652
58	2728	43521
59	2783	43614
60	2829	43554
61	2866	43373
62	2921	43449
63	2969	43433
64	3015	43383
65	3057	43264
66	3109	43304
67	3153	43220
68	3194	43104
69	3242	43072
70	3289	43042
71	3340	43050
72	3389	43042
73	3447	43139
74	3498	43148
75	3541	43052
76	3577	42879
77	3626	42863
78	3679	42899
79	3726	42858
80	3782	42919
81	3832	42907
82	3881	42885
83	3933	42889
84	3987	42918
85	4036	42900
86	4076	42779
87	4128	42791
88	4180	42795
89	4229	42767
90	4278	42738
91	4326	42701
92	4392	42835
93	4425	42650
94	4475	42633
95	4522	42588
96	4573	42571
97	4625	42572
98	4663	42444
99	4729	42565
100	4777	42525
101	4827	42498
102	4876	42469
103	4915	42350
104	4963	42307
105	5001	42185
106	5049	42143
107	5106	42177
108	5152	42115
109	5191	42007
110	5237	41949
111	5286	41912
112	5329	41835
113	5381	41824
114	5422	41731
115	5473	41711
116	5533	41762
117	5582	41728
118	5635	41724
119	5683	41678
120	5730	41632
121	5787	41651
122	5842	41654
123	5889	41606
124	5944	41613
125	5990	41550
126	6034	41479
127	6084	41449
128	6125	41356
129	6177	41342
130	6228	41315
131	6286	41337
132	6339	41325
133	6396	41341
134	6450	41327
135	6500	41295
136	6539	41193
137	6581	41112
138	6638	41122
139	6686	41072
140	6735	41036
141	6786	41008
142	6842	41008
143	6884	40926
144	6945	40954
145	7001	40951
146	7055	40939
147	7099	40868
148	7153	40854
149	7217	40897
150	7277	40915
151	7329	40890
152	7381	40864
153	7422	40777
154	7475	40755
155	7524	40708
156	7572	40660
157	7623	40626
158	7670	40571
159	7719	40529
160	7773	40506
161	7823	40469
162	7864	40384
163	7913	40340
164	7976	40365
165	8034	40364
166	8094	40374
167	8142	40326
168	8194	40292
169	8253	40297
170	8302	40247
171	8358	40235
172	8406	40185
173	8451	40118
174	8501	40077
175	8555	40053
176	8597	39976
177	8655	39972
178	8701	39909
179	8752	39871
180	8800	39819
181	8839	39730
182	8894	39708
183	8935	39625
184	8991	39610
185	9034	39538
186	9075	39454
187	9130	39434
188	9180	39391
189	9236	39376
190	9298	39386
191	9351	39356
192	9415	39367
193	9455	39284
194	9506	39244
195	9554	39193
196	9603	39144
197	9655	39109
198	9706	39069
199	9754	39016
200	9806	38981
201	9854	38929
202	9899	38866
203	9946	38811
204	10001	38788
205	10061	38781
206	10107	38719
207	10158	38681
208	10205	38626
209	10250	38562
210	10301	38519
211	10350	38472
212	10405	38448
213	10453	38394
214	10497	38328
215	10547	38283
216	10601	38251
217	10659	38236
218	10700	38161
219	10748	38108
220	10801	38074
221	10855	38043
222	10905	37999
223	10958	37961
224	11010	37926
225	11062	37885
226	11120	37867
227	11177	37846
228	11228	37804
229	11282	37770
230	11337	37741
231	11391	37709
232	11437	37649
233	11490	37613
234	11547	37589
235	11586	37508
236	11639	37470
237	11686	37415
238	11739	37378
239	11793	37344
240	11837	37282
241	11886	37230
242	11944	37210
243	12002	37188
244	12054	37147
245	12112	37124
246	12160	37070
247	12208	37018
248	12267	37000
249	12320	36961
250	12362	36889
251	12416	36854
252	12457	36780
253	12513	36751
254	12553	36675
255	12598	36615
256	12657	36594
257	12721	36587
258	12768	36530
259	12810	36461
260	12863	36421
261	12921	36397
262	12971	36350
263	13022	36306
264	13081	36282
265	13135	36245
266	13193	36220
267	13227	36128
268	13282	36094
269	13326	36031
270	13380	35993
271	13427	35937
272	13482	35904
273	13542	35882
274	13597	35849
275	13640	35781
276	13694	35743
277	13740	35685
278	13788	35633
279	13850	35615
280	13896	35557
281	13946	35509
282	13997	35464
283	14059	35446
284	14105	35388
285	14158	35345
286	14198	35274
287	14250	35231
288	14299	35179
289	14361	35161
290	14406	35100
291	14462	35065
292	14520	35038
293	14569	34987
294	14620	34940
295	14672	34897
296	14728	34862
297	14777	34811
298	14835	34782
299	14884	34731
300	14931	34674
301	14986	34637
302	15038	34592
303	15095	34561
304	15144	34509
305	15198	34469
306	15254	34435
307	15310	34398
308	15353	34334
309	15396	34269
310	15443	34214
311	15497	34173
312	15549	34129
313	15584	34048
314	15635	34000
315	15678	33936
316	15736	33905
317	15786	33857
318	15845	33827
319	15898	33784
320	15961	33763
321	16009	33709
322	16070	33682
323	16126	33645
324	16180	33604
325	16231	33558
326	16288	33523
327	16348	33494
328	16400	33450
329	16447	33394
330	16504	33358
331	16563	33327
332	16621	33292
333	16678	33257
334	16735	33221
335	16802	33204
336	16856	33163
337	16912	33125
338	16972	33093
339	17024	33046
340	17086	33021
341	17141	32980
342	17190	32926
343	17244	32885
344	17298	32841
345	17344	32784
346	17388	32723
347	17447	32689
348	17499	32642
349	17550	32593
350	17607	32556
351	17647	32488
352	17703	32447
353	17759	32408
354	17848	32429
355	17907	32393
356	17959	32347
357	18014	32305
358	18072	32268
359	18121	32216
360	18172	32166
361	18210	32093
362	18269	32060
363	18327	32022
364	18377	31972
365	18415	31899
366	18472	31861
367	18527	31818
368	18595	31799
369	18652	31760
370	18707	31716
371	18765	31679
372	18809	31617
373	18847	31547
374	18903	31505
375	18957	31461
376	18999	31397
377	19045	31338
378	19103	31301
379	19149	31243
380	19189	31176
381	19240	31128
382	19301	31093
383	19353	31045
384	19415	31014
385	19472	30973
386	19526	30929
387	19580	30884
388	19639	30847
389	19692	30801
390	19741	30747
391	19792	30698
392	19844	30650
393	19898	30604
394	19951	30559
395	19999	30504
396	20051	30455
397	20111	30419
398	20159	30365
399	20209	30314
400	20266	30273
401	20322	30231
402	20363	30166
403	20431	30142
404	20485	30095
405	20539	30050
406	20583	29989
407	20626	29927
408	20692	29900
409	20755	29868
410	20819	29835
411	20868	29783
412	20908	29716
413	20961	29670
414	21020	29631
415	21090	29607
416	21140	29555
417	21188	29502
